gene	num_snps	num_mirs	num_diseases	auto_reg
BAHD1	8	65	1	no_feedback
SMAD2	51	61	1	auto_regulate
ZNF584	5	1	1	no_feedback
ZNF83	31	4	1	no_feedback
MAML3	18	14	1	no_feedback
NCOR1	7	1	1	no_feedback
LEF1	4	21	1	no_feedback
CHD4	6	12	1	no_feedback
PRDM1	24	35	1	no_feedback
DUX4	1	1	1	no_feedback
ILK	2	2	1	no_feedback
MBD4	8	2	1	no_feedback
ICE2	0	0	0	no_feedback
HOXB7	5	3	1	no_feedback
HDAC3	4	1	1	no_feedback
SGF29	0	0	0	auto_regulate
HES1	1	11	1	no_feedback
FOXJ2	7	31	1	no_feedback
ICE1	0	0	0	no_feedback
TEAD2	10	1	1	no_feedback
KLF3	24	77	1	no_feedback
CARM1	7	13	1	no_feedback
MLLT3	14	17	1	no_feedback
ELL	16	23	1	no_feedback
ZNF592	21	13	1	no_feedback
NR1H3	5	3	1	no_feedback
THAP11	1	2	1	no_feedback
C17orf49	2	1	1	no_feedback
SIRT3	6	2	1	no_feedback
KAT2A	2	1	1	no_feedback
ZNF335	1	1	1	no_feedback
MDM2	56	1	1	no_feedback
EWSR1	4	2	1	no_feedback
KDM1B	8	16	1	no_feedback
HOXC11	9	22	1	no_feedback
SVIL	16	4	1	auto_regulate
SMC4	7	1	1	no_feedback
TRRAP	7	8	1	auto_regulate
