mir	auto	count
hsa-miR-124-3p	no_feedback	28
hsa-miR-124-3p	auto_regulate	36
hsa-miR-107	auto_regulate	8
hsa-miR-107	no_feedback	5
hsa-miR-106b-5p	auto_regulate	34
hsa-miR-106b-5p	no_feedback	20
hsa-miR-106a-5p	auto_regulate	27
hsa-miR-106a-5p	no_feedback	14
hsa-miR-101-3p	auto_regulate	25
hsa-miR-101-3p	no_feedback	13
hsa-miR-100-5p	auto_regulate	5
hsa-miR-100-5p	no_feedback	5
hsa-miR-1-3p	auto_regulate	21
hsa-miR-1-3p	no_feedback	18
hsa-let-7g-5p	auto_regulate	10
hsa-let-7g-5p	no_feedback	6
hsa-let-7c-5p	auto_regulate	20
hsa-let-7c-5p	no_feedback	13
hsa-let-7a-5p	auto_regulate	21
hsa-let-7a-5p	no_feedback	9
hsa-miR-184	auto_regulate	3
hsa-miR-184	no_feedback	1
hsa-miR-802	auto_regulate	3
hsa-miR-650	no_feedback	3
hsa-miR-650	auto_regulate	10
hsa-miR-224-5p	no_feedback	2
hsa-miR-224-5p	auto_regulate	3
hsa-let-7f-5p	no_feedback	7
hsa-let-7f-5p	auto_regulate	12
hsa-miR-422a	auto_regulate	2
hsa-miR-1296-5p	auto_regulate	3
hsa-miR-1296-5p	no_feedback	2
hsa-miR-193b-3p	auto_regulate	25
hsa-miR-193b-3p	no_feedback	12
hsa-miR-138-5p	no_feedback	6
hsa-miR-138-5p	auto_regulate	13
hsa-miR-519c-3p	auto_regulate	14
hsa-miR-519c-3p	no_feedback	5
hsa-miR-20b-5p	auto_regulate	33
hsa-miR-20b-5p	no_feedback	18
hsa-miR-324-5p	no_feedback	8
hsa-miR-324-5p	auto_regulate	12
hsa-miR-216a-5p	no_feedback	1
hsa-miR-216a-5p	auto_regulate	5
hsa-miR-942-5p	auto_regulate	9
hsa-miR-942-5p	no_feedback	2
hsa-miR-182-5p	auto_regulate	9
hsa-miR-182-5p	no_feedback	5
hsa-miR-657	auto_regulate	2
hsa-miR-657	no_feedback	3
hsa-miR-654-3p	auto_regulate	3
hsa-miR-654-3p	no_feedback	1
hsa-miR-572	auto_regulate	3
hsa-miR-520h	auto_regulate	8
hsa-miR-520h	no_feedback	9
hsa-miR-520b	no_feedback	10
hsa-miR-520b	auto_regulate	14
hsa-miR-520a-3p	no_feedback	10
hsa-miR-520a-3p	auto_regulate	14
hsa-miR-519e-3p	auto_regulate	1
hsa-miR-519e-3p	no_feedback	2
hsa-miR-519d-3p	no_feedback	17
hsa-miR-519d-3p	auto_regulate	28
hsa-miR-519b-3p	no_feedback	4
hsa-miR-519b-3p	auto_regulate	13
hsa-miR-515-3p	auto_regulate	1
hsa-miR-515-3p	no_feedback	2
hsa-miR-423-3p	no_feedback	7
hsa-miR-423-3p	auto_regulate	5
hsa-miR-363-3p	auto_regulate	7
hsa-miR-363-3p	no_feedback	6
hsa-miR-345-5p	auto_regulate	1
hsa-miR-345-5p	no_feedback	1
hsa-miR-299-5p	no_feedback	2
hsa-miR-299-5p	auto_regulate	2
hsa-miR-28-5p	no_feedback	4
hsa-miR-28-5p	auto_regulate	3
hsa-miR-208b-3p	no_feedback	2
hsa-miR-208b-3p	auto_regulate	1
hsa-miR-208a-3p	auto_regulate	3
hsa-miR-208a-3p	no_feedback	2
hsa-miR-125a-5p	auto_regulate	15
hsa-miR-125a-5p	no_feedback	4
hsa-miR-503-5p	no_feedback	4
hsa-miR-503-5p	auto_regulate	5
hsa-miR-424-5p	auto_regulate	15
hsa-miR-424-5p	no_feedback	10
hsa-miR-335-5p	no_feedback	29
hsa-miR-335-5p	auto_regulate	57
hsa-miR-378a-3p	auto_regulate	8
hsa-miR-378a-3p	no_feedback	1
hsa-miR-29a-3p	auto_regulate	14
hsa-miR-29a-3p	no_feedback	7
hsa-miR-140-5p	auto_regulate	3
hsa-miR-140-5p	no_feedback	7
hsa-miR-302c-3p	auto_regulate	15
hsa-miR-302c-3p	no_feedback	10
hsa-miR-18b-5p	auto_regulate	6
hsa-miR-18b-5p	no_feedback	1
hsa-miR-18a-5p	auto_regulate	12
hsa-miR-18a-5p	no_feedback	5
hsa-miR-135a-5p	auto_regulate	7
hsa-miR-135a-5p	no_feedback	2
hsa-miR-330-3p	auto_regulate	9
hsa-miR-330-3p	no_feedback	1
hsa-miR-34c-5p	auto_regulate	13
hsa-miR-34c-5p	no_feedback	6
hsa-miR-199a-3p	no_feedback	4
hsa-miR-199a-3p	auto_regulate	5
hsa-miR-29c-3p	no_feedback	5
hsa-miR-29c-3p	auto_regulate	15
hsa-miR-150-5p	auto_regulate	15
hsa-miR-150-5p	no_feedback	11
hsa-miR-203a-3p	auto_regulate	19
hsa-miR-203a-3p	no_feedback	11
hsa-miR-16-1-3p	auto_regulate	3
hsa-miR-16-1-3p	no_feedback	2
hsa-miR-130a-3p	no_feedback	6
hsa-miR-130a-3p	auto_regulate	15
hsa-miR-32-5p	no_feedback	10
hsa-miR-32-5p	auto_regulate	11
hsa-miR-25-3p	auto_regulate	13
hsa-miR-25-3p	no_feedback	10
hsa-miR-377-3p	auto_regulate	11
hsa-miR-377-3p	no_feedback	2
hsa-miR-196b-5p	no_feedback	6
hsa-miR-196b-5p	auto_regulate	7
hsa-miR-218-5p	no_feedback	15
hsa-miR-218-5p	auto_regulate	30
hsa-miR-370-3p	auto_regulate	1
hsa-miR-370-3p	no_feedback	4
hsa-miR-133b	auto_regulate	4
hsa-miR-96-5p	auto_regulate	10
hsa-miR-96-5p	no_feedback	5
hsa-miR-421	no_feedback	11
hsa-miR-421	auto_regulate	6
hsa-miR-98-5p	auto_regulate	29
hsa-miR-98-5p	no_feedback	13
hsa-miR-105-5p	auto_regulate	5
hsa-miR-105-5p	no_feedback	1
hsa-miR-10a-5p	no_feedback	7
hsa-miR-10a-5p	auto_regulate	13
hsa-miR-338-5p	no_feedback	3
hsa-miR-338-5p	auto_regulate	4
hsa-miR-545-3p	auto_regulate	2
hsa-miR-545-3p	no_feedback	1
hsa-miR-205-5p	auto_regulate	14
hsa-miR-205-5p	no_feedback	7
hsa-miR-19b-3p	auto_regulate	23
hsa-miR-19b-3p	no_feedback	16
hsa-miR-23b-3p	auto_regulate	7
hsa-miR-23b-3p	no_feedback	9
